CONSECUTIVO,ESTADO,PROGRAMA,MODALIDAD,EXPEDICION,SUPERFICIE_ha,FECHA,fn_SUPERFICIE_ha
103,Michoacán,Programa de Ordenamiento Ecológico de la Región Mariposa Monarca. Michoacán de Ocampo,Regional,P.O. 04/Dic/2008,663258,2008-12-04,663258
104,Michoacán,Programa de Ordenamiento Ecológico Regional de la Cuenca del Lago de Cuitzeo,Regional,P.O. 01/Jul/2011                   (Actualización);                   P.O. 21/Jul/2011      (Anexos),338200,2011-07-21,338200
105,Michoacán,Programa de Ordenamiento Ecológico Regional de la Cuenca del Rio Tepalcatepec,Regional,P.O. 05/Jun/2007;               P.O. 06/Jul/2007        (Anexos),989918,2007-07-06,989918
106,Michoacán,"Programa de Ordenamiento Ecológico Regional de la zona denominada Infiernillo, Michoacan",Regional,P.O. 24/Jun/2011,483480,2011-06-24,483480
107,Michoacán,Programa de Ordenamiento Ecológico Regional Pátzcuaro-Zirahuén,Regional,P.O. 20/May/2014,1171200,2014-05-20,1171200
108,Michoacán,"Programa de Ordenamiento Ecológico Regional Sierra Costa, Michoacán de Ocampo",Regional,P.O. 03/Oct/2019,1457600,2019-10-03,1457600
109,Michoacán,Programa de Ordenamiento Ecólogico Regional Tierra Caliente,Regional,P.O. 26/May/2015,740800,2015-05-26,740800
110,Michoacán,Programa de Ordenamiento Ecológico del Municipio de Cotija,Local,P.O. 21/Mar/2007,50800,2007-03-21,50800
111,Michoacán,Programa de Ordenamiento Ecológico Territorial Local del Municipio de Lázaro Cárdenas,Local,P.O. 14/Ago/2019                    P.O. 04/Sep/2019 (Complemento),116024,2019-09-04,116024
112,Michoacán,Programa de Ordenamiento Ecológico Local del Municipio de Morelia,Local,P.O. 06/Jui/2012,119492,,119492
113,Michoacán,Programa de Ordenamiento Ecológico Local del Municipio de Salvador Escalante,Local,P.O. 13/Mar/2013,49399,2013-03-13,49399
114,Michoacán,Programa de Ordenamiento Ecológico Local del Municipio de Uruapan,Local,P.O. 30/Abr/2013,94805,2013-04-30,94805
115,Michoacán,Programa de Ordenamiento Ecológico Local del Municipio de Ziracuaretiro,Local,P.O. 07/Ago/2013,15960,2013-08-07,15960
116,Morelos,Programa de Ordenamiento Ecológico Regional del Estado de Morelos,Regional,P.O. 29/Sep/2014,487905,2014-09-29,487905
117,Morelos,Programa de Ordenamiento Ecológico Local del Municipio de Axochiapan,Local,P.O. 26/Dic/2012,14986,2012-12-26,14986
118,Morelos,Programa de Ordenamiento Ecológico y Territorial del Municipio de Ayala,Local,P.O. 14/Nov/2018 (Actualización),36717,2018-11-14,36717
119,Morelos,Programa de Ordenamiento Ecológico del Territorio del Municipio de Cuautla,Local,P.O. 29/Dic/2021 (Actualización,15365,2021-12-29,15365
120,Morelos,Programa de Ordenamiento Ecológico del Territorio del Municipio de Cuernavaca,Local,P.O. 01/May/2009,20889,2009-05-01,20889
121,Morelos,Programa de Ordenamiento Ecológico Local del Territorio del Municipio de Huitzilac,Local,P.O. 16/Jun/2010,17974,2010-06-16,17974
122,Morelos,Programa de Ordenamiento Ecológico Local del Territorio del Municipio de Jiutepec,Local,P.O. 25/Ene/2012,7045,2012-01-25,7045
123,Morelos,Programa de Ordenamiento Ecológico Local del Territorio del Municipio de Jonacatepec,Local,P.O. 26/Oct/2011,10263,2011-10-26,10263
124,Morelos,Programa de Ordenamiento Ecológico Local del Territorio del Municipio de Tepoztlán,Local,P.O. 21/Oct/2009,23072,2009-10-21,23072
125,Nayarit,Programa de Ordenamiento Ecológico de la Cuenca de Santa María del Oro,Local,P.O. 12/Dic/2003,1305,2003-12-12,1305
126,Nayarit,Programa de Ordenamiento Ecológico Local Participativo del Municipio de Tecuala,Local,P.O. 20/Feb/2023,104447,2023-02-20,104447
127,Nuevo Léon,Programa de Ordenamiento Ecológico de la Región Cuenca de Burgos en Nuevo León,Regional,P.O. 27/Abr/2012,5624677,2012-04-27,5624677
128,Oaxaca,Programa de Ordenamiento Ecológico Regional del Territorio del Estado de Oaxaca,Regional,P.O. 27Feb/2016;             P.O. 28/Ene/2017 (Abrogación);                  P.O. 18/Mar/2017 (Reforma al Transitorio Decimo Segundo),9375700,2017-03-18,9375700
129,Oaxaca,Programa de Ordenamiento Ecológico Local del Municipio de Santa María Tonameca,Local,P.O. 02/May/2015,45420,2015-05-02,45420
130,Oaxaca,Programa de Ordenamiento Ecológico Local del Municipio de Villa de Tututepec de Melchor Ocampo,Local,P.O. 15/Feb/2014,124900,2014-02-15,124900
131,Puebla,Programa de Ordenamiento Ecológico y por Riesgo Eruptivo de la Región del Volcán Popocatépetl y su Zona de Influencia en el Estado de Puebla,Regional,P.O. 28/Ene/2005,227822,2005-01-28,227822
132,Puebla,Programa de Ordenamiento Ecológico Territorial del Municipio de Cuetzalan del Progreso,Local,P.O. 03/Dic/2010,18166,2010-12-03,18166
133,Querétaro,Programa de Ordenamiento Ecológico Regional del Estado de Querétaro,Regional,P.O. 17/Abr/2009,1176905,2009-04-17,1176905
134,Querétaro,Programa de Ordenamiento Ecológico Local del Municipio de Amealco de Bonfil,Local,G.M 25/Abr/2016;         P.O. 24/Jun/2016,71743,2016-06-24,71743
135,Querétaro,Programa de Ordenamiento Ecológico Local del Municipio de Cadereyta,Local,P.O 09/May/2018,113100,2018-05-09,113100
136,Querétaro,Programa de Ordenamiento Ecológico Local del Municipio de Colón,Local,P.O. 23/Feb/2018,80715,2018-02-23,80715
137,Querétaro,Programa de Ordenamiento Ecológico Local de Corregidora,Local,P.O. 10/Feb/2017        (Actualización);               P.O. 10/Mar/2017                (Fe de erratas),23446,2017-03-10,23446
138,Querétaro,Programa de Ordenamiento Ecológico Local de El Marqués,Local,P.O 01/Jun/2018 (Actualizacion),75564,2018-06-01,75564
139,Querétaro,Programa de Ordenamiento Ecológico Local del Municipio de Ezequiel Montes,Local,P.O. 31/Mzo/2020,29827,2020-03-31,29827
140,Querétaro,Programa de Ordenamiento Ecológico Local del Municipio de Huimilpan,Local,P.O. 20/Abr/2018 (Actualizacion),38835,2018-04-20,38835
141,Querétaro,Programa de Ordenamiento Ecológico Local del Municipio de Pedro Escobedo,Local,P.O. 17/Feb/2017 (Actualizacion),32340,2017-02-17,32340
142,Querétaro,Programa de Ordenamiento Ecológico Local del Municipio de Querétaro,Local,P.O. 16/May/2014;           G.M. 13/May/2014,69000,2014-05-13,69000
143,Querétaro,Programa de Ordenamiento Ecológico Local del Municipio de San Joaquín,Local,P.O. 21/Sep/2018,27768,2018-09-21,27768
144,Querétaro,Programa de Ordenamiento Ecológico Local del Municipio de San Juan del Río,Local,P.O. 12/Ene/2018,79632,2018-01-12,79632
145,Querétaro,Programa de Ordenamiento Ecológico Local del Municipio de Tequisquiapan,Local,G.M. 30/Sep/2015;          P.O. 30/Oct/2015,37063,2015-10-30,37063
146,Querétaro,Programa de Ordenamiento Ecológico Local del Municipio de Tolimán,Local,P.O. 25/Sep/2018,68099,2018-09-25,68099
147,Quintana Roo,Programa de Ordenamiento Ecológico Territorial de la Región denominada Corredor CancÂ£n Tulum.,Regional,P.O. 16/Nov/2001;        P.O. 19/Dic/2006       (Reglas de aplicación),182150,2006-12-19,182150
148,Quintana Roo,Ordenamiento Ecológico Territorial de la Zona Costera de la Reserva de la Biosfera Sian Ka'an,Regional,P.O. 14/May/2002,159663,2002-05-14,159663
149,Quintana Roo,Programa de Ordenamiento Ecológico Territorial de la Región Costa Maya,Local,P.O. 31/Oct/2006 (Actualización),96500,2006-10-31,96500
150,Quintana Roo,Programa de Ordenamiento Ecológico Territorial de la Región de Laguna Bacalar,Local,P.O. 15/Mar/2005,216386,2005-03-15,216386
151,Quintana Roo,Programa de Ordenamiento Ecológico Local del Municipio de Benito Juárez,Local,P.O. 27/Feb/2014 (Actualización),197882,2014-02-27,197882
152,Quintana Roo,Programa de Ordenamiento Ecológico Local del Municipio de Cozumel,Local,P.O. 21/Oct/2008;            P.O. 03/Nov/2008                  (Fe de erratas);                P.O. 21/Dic/2011 (Modificación),49017,2011-12-21,49017
153,Quintana Roo,Programa de Ordenamiento Ecológico Local del Municipio de Isla Mujeres,Local,P.O. 09/Abr/2008,86596,2008-04-09,86596
154,Quintana Roo,Programa de Ordenamiento Ecológico Local del Municipio de Othón P. Blanco,Local,P.O. 07/Oct/2015,1180465,2015-10-07,1180465
155,Quintana Roo,Programa de Ordenamiento Ecológico Local del Municipio de Solidaridad,Local,P.O. 25/May/2009,212823,2009-05-25,212823
156,Sinaloa,Ordenamiento Ecológico Territorial de la Zona Costera del Municipio de El Rosario.,Local,P.O. 02/Jun/2006,63040,2006-06-02,63040
157,Sonora,Programa de Ordenamiento Ecológico Territorial de la Costa de Sonora,Regional,P.O. 20/Ago/2009,1591358,2009-08-20,1591358
158,Sonora,Programa de Ordenamiento Ecológico y Territorial del Municipio de Rosario,Local,P.O. 30/Jul/2007,330190,2007-07-30,330190
159,Tabasco,Programa de Ordenamiento Ecológico del Estado de Tabasco,Regional,P.O. 14/Feb/2019 (Actualizaciópn),2473671,2019-02-14,2473671
160,Tamaulipas,Programa de Ordenamiento Ecológico de la Región Cuenca de Burgos en Tamaulipas,Regional,P.O. 08/May/2012,3651824,2012-05-08,3651824
161,Tlaxcala,Programa de Ordenamiento Ecológico General del Estado de Tlaxcala,Regional,P.O. 15/Ago/2002;                               P.O. 06/Jun/2012 (Modificación);                         P.O. 22/Oct/2014 (Modificación)                  P.O. 11/Nov/2015 (Modificación),406092,2015-11-11,406092
162,Veracruz,Programa de Ordenamiento Ecológico Cuencas de los Ríos Bobos y Solteros,Regional,P.O. 12/Mar/2008,340448,2008-03-12,340448
163,Veracruz,Programa de Ordenamiento Ecológico Regional que regula y reglamenta el desarrollo de la región denominada Cuenca Baja del Río Coatzacoalcos,Regional,P.O. 25/Jul/2008,468163,2008-07-25,468163
164,Veracruz,Programa de Ordenamiento Ecológico Regional que regula y reglamenta el desarrollo de la región denominada Cuenca del Rio Tuxpan,Regional,P.O. 20/Jul/2012 (Actualización)           P.O. 03/Mar/2023 (Actualización municipios Huayacocotla y Zacualpan),423910,2023-03-03,423910
165,Yucatán,Programa de Ordenamiento Ecológico del Territorio del Estado de Yucatán,Regional,P.O. 26/Jul/2007,3927138,2007-07-26,3927138
166,Yucatán,Programa de Ordenamiento Ecológico del Territorio Costero del Estado de Yucatán,Regional,P.O 20/Mar/2014 (Actualización);              P.O. 14/Oct/2015 (Modificación):              P.O. 16/Oct/2015           (Fe de erratas),642864,2015-10-16,642864
